agelaius phoeniceus
anas platyrhynchos
bombycilla cedrorum
cardinalis cardinalis
chaetura pelagica
charadrius vociferus
chordeiles minor
contopus cooperi
cygnus buccinator
dryobates pubescens
empidonax minimus
falco sparverius
haemorhous mexicanus
hirundo rustica
mniotilta varia
molothrus ater
myiarchus crinitus
nycticorax nycticorax
pandion haliaetus
passer domesticus
passer montanus
pheucticus ludovicianus
poecile atricapillus
poecile carolinensis
polioptila caerulea
quiscalus quiscula
seiurus aurocapilla
setophaga ruticilla
sitta canadensis
spinus tristis
spizella passerina
stelgidopteryx serripennis
sturnella magna
turdus migratorius
zenaida macroura
